# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 222 10/21/2009 SJ Full Version
# File: C:\Work\SOLO2\plis1_fw\solo.csv
# Generated on: Fri Dec 17 12:34:17 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
oemem,Output,PIN_28,1,B1_N1,,
svetodiod,Output,PIN_76,3,B3_N1,,
wemem,Output,PIN_120,2,B2_N0,,
,Unknown,PIN_2,,,,
,Unknown,PIN_5,,,,
,Unknown,PIN_6,,,,
,Unknown,PIN_10,1,B1_N0,,
,Unknown,PIN_11,1,B1_N0,,
,Unknown,PIN_12,1,B1_N0,,
,Unknown,PIN_13,,,,
,Unknown,PIN_14,1,B1_N0,,
,Unknown,PIN_15,,,,
,Unknown,PIN_16,1,B1_N0,,
,Unknown,PIN_17,1,B1_N0,,
,Unknown,PIN_18,1,B1_N0,,
,Unknown,PIN_19,,,,
,Unknown,PIN_20,,,,
,Unknown,PIN_21,,,,
,Unknown,PIN_23,,,,
,Unknown,PIN_24,,,,
,Unknown,PIN_29,1,,,
,Unknown,PIN_33,,,,
,Unknown,PIN_34,,,,
,Unknown,PIN_35,,,,
,Unknown,PIN_36,,,,
,Unknown,PIN_37,,,,
,Unknown,PIN_38,,,,
,Unknown,PIN_39,,,,
,Unknown,PIN_40,,,,
,Unknown,PIN_46,,,,
,Unknown,PIN_49,,,,
,Unknown,PIN_50,,,,
,Unknown,PIN_54,4,,,
,Unknown,PIN_56,,,,
,Unknown,PIN_61,,,,
,Unknown,PIN_62,,,,
,Unknown,PIN_66,4,,,
,Unknown,PIN_67,,,,
,Unknown,PIN_68,,,,
,Unknown,PIN_69,,,,
,Unknown,PIN_70,4,B4_N0,,
,Unknown,PIN_71,,,,
,Unknown,PIN_72,4,B4_N0,,
,Unknown,PIN_73,,,,
,Unknown,PIN_77,3,,,
,Unknown,PIN_78,,,,
,Unknown,PIN_82,,,,
,Unknown,PIN_83,,,,
,Unknown,PIN_84,,,,
,Unknown,PIN_85,3,B3_N1,,
,Unknown,PIN_87,,,,
,Unknown,PIN_88,3,B3_N1,,
,Unknown,PIN_89,,,,
,Unknown,PIN_90,3,B3_N0,,
,Unknown,PIN_91,3,B3_N0,,
,Unknown,PIN_95,,,,
,Unknown,PIN_98,,,,
,Unknown,PIN_102,3,,,
,Unknown,PIN_103,3,B3_N0,,
,Unknown,PIN_105,,,,
,Unknown,PIN_106,,,,
,Unknown,PIN_107,,,,
,Unknown,PIN_108,,,,
,Unknown,PIN_109,,,,
,Unknown,PIN_110,,,,
,Unknown,PIN_111,,,,
,Unknown,PIN_116,2,,,
,Unknown,PIN_117,,,,
,Unknown,PIN_119,2,B2_N0,,
,Unknown,PIN_123,,,,
,Unknown,PIN_124,,,,
,Unknown,PIN_127,,,,
,Unknown,PIN_128,,,,
,Unknown,PIN_130,,,,
,Unknown,PIN_131,,,,
,Unknown,PIN_138,,,,
,Unknown,PIN_140,,,,
,Unknown,PIN_142,,,,
